config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
mixture_none,mixture,none,RGB,-2.5,0.62,10,0.8617,-2.36,-2.46,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.62,11,0.9626,-2.42,-2.48,-2.3,1
mixture_none,mixture,none,RGB,-2.5,0.62,12,0.8654,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.62,13,0.8228,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.62,14,0.8622,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.62,15,0.8985,-2.38,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.62,16,0.9853,-2.44,-2.5,-2.34,1
mixture_none,mixture,none,RGB,-2.5,0.62,17,0.6719,-2.22,-2.4,-1.96,1
mixture_none,mixture,none,RGB,-2.5,0.62,18,0.9209,-2.38,-2.48,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.62,19,0.6733,-2.3,-2.44,-2.08,1
mixture_none,mixture,none,RGB,-2.5,0.62,20,0.8495,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.62,21,0.77,-2.3,-2.44,-2.1,1
mixture_none,mixture,none,RGB,-2.5,0.62,22,0.86,-2.36,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.62,23,0.8115,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,RGB,-2.5,0.62,24,0.4213,-2.02,-2.3,-1.8,0
mixture_none,mixture,none,RGB,-2.5,0.62,25,0.7128,-2.3,-2.44,-2.08,1
mixture_none,mixture,none,RGB,-2.5,0.62,26,0.8127,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.62,27,0.9538,-2.4,-2.48,-2.26,1
mixture_none,mixture,none,RGB,-2.5,0.62,28,0.8601,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.62,29,0.9654,-2.4,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.62,30,0.8314,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.62,31,0.6183,-2.2,-2.4,-1.96,1
mixture_none,mixture,none,RGB,-2.5,0.62,32,0.5075,-2.02,-2.3,-1.78,1
mixture_none,mixture,none,RGB,-2.5,0.62,33,0.8965,-2.38,-2.48,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.62,34,0.9235,-2.4,-2.48,-2.24,1
mixture_none,mixture,none,RGB,-2.5,0.62,35,0.6975,-2.26,-2.42,-2.02,1
mixture_none,mixture,none,RGB,-2.5,0.62,36,0.8523,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.62,37,0.8617,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.62,38,0.8885,-2.36,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.62,39,0.8523,-2.36,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.62,40,0.9584,-2.4,-2.48,-2.26,1
mixture_none,mixture,none,RGB,-2.5,0.62,41,0.8392,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,RGB,-2.5,0.62,42,0.6518,-2.26,-2.42,-2.02,1
