config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,0,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,1,1.0,-2.1,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,2,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,3,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,4,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,5,1.0,-2.08,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,6,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,7,1.0,-1.94,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,8,0.0,-2.14,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,9,0.0,-2.32,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,10,0.0,-2.46,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,11,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,12,0.0,-2.36,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,13,0.0,-2.2,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,14,1.0,-1.84,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,15,0.0,-2.44,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,16,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,17,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,18,1.0,-1.92,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,19,0.0,-2.4,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,20,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,21,0.0,-2.3,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,22,0.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,23,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,24,0.0,-2.04,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,25,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,26,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,27,1.0,-2.5,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,28,0.0,-1.48,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,29,0.0,-2.36,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,30,0.0,-2.18,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,31,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,32,0.0,-2.26,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,33,0.0,-2.08,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,34,1.0,-2.5,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,35,0.0,-2.26,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,36,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,37,1.0,-2.3,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,38,0.0,-2.24,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,39,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,40,0.0,-1.8,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,41,1.0,-2.04,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,42,0.0,-2.26,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,43,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,44,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,45,0.0,-2.3,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,46,1.0,-2.28,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,47,1.0,-1.88,nan,nan,0
